"city", "lat", "lng", 
"Battle Creek", "42.2986", "-85.2296", 
"Bellflower", "33.8880", "-118.1271", 
"San Marcos", "29.8736", "-97.9381", 
"San Ramon", "37.7625", "-121.9365", 
"Lake Jackson", "29.0516", "-95.4522", 
"Bethlehem", "40.6266", "-75.3679", 
"Wyoming", "42.8909", "-85.7066", 
"Oshkosh", "44.0228", "-88.5619", 
"Hammond", "41.6169", "-87.4910", 
"Waldorf", "38.6085", "-76.9195", 
"Missouri City", "29.5630", "-95.5365", 
"Pasco", "46.2506", "-119.1304", 
"Wheeling", "40.0752", "-80.6951", 
"Kendall", "25.6697", "-80.3556", 
"Baldwin Park", "34.0829", "-117.9721", 
"Rancho Cordova", "38.5740", "-121.2523", 
"Conway", "35.0754", "-92.4694", 
"Gary", "41.5906", "-87.3472", 
"Altoona", "40.5082", "-78.4007", 
