co_X_train_ax1,co_X_train_ax2
0.20179144,0.21525952
0.20433508,0.21782345
0.2001885,0.21640298
0.20134936,0.21419375
0.21184608,0.18380131
0.19866261,0.221053
0.20057361,0.2125373
0.20279925,0.20658357
0.1973448,0.21050467
0.19654658,0.22272998
0.18799353,0.21285674
0.2022229,0.21042998
0.20059386,0.22039574
0.20324361,0.20630452
0.19590354,0.21890974
0.20265956,0.2188858
0.20474736,0.20913926
0.20384152,0.20630684
0.16078684,0.22890922
0.15168403,0.15353444
0.21166909,0.20453036
0.20047696,0.21524124
0.1975893,0.20057209
0.1957964,0.20697756
0.20163177,0.19866669
0.22538397,0.192343
0.19175151,0.2099364
0.14009412,0.23447372
0.1924275,0.22350335
0.19064663,0.18833305
0.19331664,0.21494755
0.19243866,0.21902634
0.18123725,0.18354851
0.19423212,0.21743295
0.19181135,0.22388382
0.20053405,0.21647139
0.20444705,0.21258081
0.20904726,0.2102089
0.19708289,0.20710705
0.1940287,0.2127875
0.19472809,0.22032359
0.20902255,0.20806354
0.19901137,0.21742631
0.19235648,0.21869381
0.1924666,0.21413058
0.19635357,0.22181852
0.20120135,0.2149529
0.14559983,0.17519608
0.19660202,0.20696628
0.19576378,0.21877694
0.20232892,0.20936012
0.19129336,0.22016713
0.20720956,0.20167226
0.2020406,0.21297918
0.19660062,0.2132804
0.1983861,0.2159988
0.19724047,0.21796481
0.2019691,0.2015967
0.20091873,0.2180559
0.2044821,0.20525664
0.19334166,0.21562965
0.20590776,0.19604711
0.19723064,0.21938938
0.19175151,0.2099364
0.20481557,0.20475826
0.20211144,0.21452342
0.18724854,0.21856476
0.20054397,0.2136886
0.19125494,0.20756826
0.20354304,0.20616674
0.1858522,0.20282294
0.20717686,0.20913172
