city,state,country,dim_1,dim_2
Hustler,WI,US,0.22654173,0.11658854
Onaway,ID,US,0.19349964,0.16681142
Golden,MS,US,0.20951405,0.16332965
LakeTomahawk,WI,US,0.21082361,0.13759515
Northome,MN,US,0.20033099,0.14333268
Heckscherville,PA,US,0.23200783,0.04873954
WestElkton,OH,US,0.27522013,0.14368264
Lopeño,TX,US,0.143744,0.23578775
Lequire,OK,US,0.176935,0.25551975
Gurley,NE,US,0.16984259,0.19892643
WaterValley,KY,US,0.2392343,0.1722568
Saco,MT,US,0.18370521,0.15319616
Coral,PA,US,0.27967644,0.07969457
Beaverton,AL,US,0.20404652,0.16333133
Stronach,MI,US,0.23192951,0.11288932
Cool,TX,US,0.15184909,0.2506878
Locustdale,PA,US,0.23266703,0.054239325
Latah,WA,US,0.19078887,0.15714139
Wren,OH,US,0.26200226,0.11130102
HowardCity,NE,US,0.18510586,0.18777485
Alligator,MS,US,0.19313544,0.18344484
Benson,PA,US,0.26333237,0.067056656
Boxholm,IA,US,0.20972745,0.15181123
Clawson,UT,US,0.18268426,0.14930089
Onycha,AL,US,0.18910891,0.10385097
Emmett,KS,US,0.20063147,0.20380078
Hosmer,SD,US,0.2053973,0.16125524
Eldred,IL,US,0.23236524,0.16054823
TseBonito,NM,US,0.18882355,0.13743195
Rantoul,KS,US,0.2120356,0.20611556
Broadway,NJ,US,0.23517923,0.02497604
DeepRiver,WA,US,0.15913765,0.16058534
Wing,ND,US,0.1969918,0.14821061
Franktown,CO,US,0.17348382,0.17416489
ElkMountain,WY,US,0.17781687,0.19829485
Rayle,GA,US,0.23573305,0.13650824
Rossburg,OH,US,0.27639687,0.11567734
St.Lawrence,SD,US,0.20632176,0.16077915
RoyalLakes,IL,US,0.23789933,0.13788526
ArcticVillage,AK,US,0.16168602,0.16955857
Blockton,IA,US,0.2079517,0.17932416
ValleyHome,CA,US,0.20845512,-0.078020915
Newberry,IN,US,0.25778237,0.15449175
TwinForks,NM,US,0.16368577,0.16978002
Winnett,MT,US,0.18766008,0.17517959
MountCroghan,SC,US,0.23282523,0.0974076
DewyRose,GA,US,0.23788977,0.13382655
Palestine,OH,US,0.27354354,0.12285881
PortLions,AK,US,0.18320005,0.1802412
DecaturCity,IA,US,0.20906875,0.17298503
MindenCity,MI,US,0.23959206,0.08373676
CrystalBay,NV,US,0.15812646,0.13919458
Buffalo,ND,US,0.21447682,0.14235847
SanCristobal,NM,US,0.17666586,0.17827271
DavisCity,IA,US,0.21180514,0.17239463
Custar,OH,US,0.2543611,0.099424034
Hyannis,NE,US,0.16935831,0.19746402
Alger,WA,US,0.15941174,0.15085608
MaryhillEstates,KY,US,0.2797568,0.14020388
Trinway,OH,US,0.26474306,0.112901226
Broadview,MT,US,0.1812632,0.1878942
Crouch,ID,US,0.17354628,0.17888336
Funk,NE,US,0.1750856,0.19215816
Gainesville,AL,US,0.20437886,0.16844764
Ratcliff,AR,US,0.18398981,0.25067994
SanSimon,AZ,US,0.179433,0.10083804
Offerle,KS,US,0.17602119,0.21065384
Amberg,WI,US,0.22382243,0.13040248
Howard,OH,US,0.2704722,0.11340089
Latty,OH,US,0.25524694,0.104374394
Ensign,KS,US,0.17661282,0.21505573
Wynot,NE,US,0.20216043,0.16122721
Grayridge,MO,US,0.2360178,0.16713814
SugarBushKnolls,OH,US,0.2874852,0.08004028
Medon,TN,US,0.2128564,0.20975691
Nageezi,NM,US,0.18509382,0.1398819
Buckhead,GA,US,0.2404044,0.11127674
Metaline,WA,US,0.19028564,0.1832982
MiddleVillage,WI,US,0.22820988,0.13725199
Beaman,IA,US,0.20198585,0.14339459
Choptank,MD,US,0.24934843,0.03988141
Carney,MI,US,0.22499488,0.12438849
Calpine,CA,US,0.17680317,0.14503855
Slick,OK,US,0.18388383,0.23599714
Cowgill,MO,US,0.2240041,0.17624933
Hebron,WI,US,0.22548491,0.09330512
Banner,IL,US,0.23454903,0.14656812
Mina,NV,US,0.19393174,0.09578221
Hebo,OR,US,0.15313654,0.1776731
Frost,MN,US,0.20743096,0.14214991
Layton,FL,US,0.16741341,0.17467116
Proberta,CA,US,0.19750068,0.0009564952
FountainN'Lakes,MO,US,0.23204038,0.16565992
Weldona,CO,US,0.17969102,0.17375724
GreenBank,WV,US,0.24157855,0.14793043
ConceptionJunction,MO,US,0.21278414,0.18114962
NewGrandChain,IL,US,0.239695,0.16386038
Warba,MN,US,0.19908188,0.14103046
