city,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10
Blairsburg,0.04469409,-0.033181485,-0.003281209,0.019135503,0.03657407,0.016221719,-0.004677584,0.019343097,0.015128552,0.036739253
Barkeyville,-0.018273989,0.0040138764,0.007986397,0.026939524,0.011990545,-0.005387366,0.022763623,-0.017447984,-0.0073042284,-0.04623533
Parkersburg,0.0055009276,0.0023638823,0.010577458,0.023014558,0.025673334,0.0008235906,-0.001808466,0.019282449,-0.010639109,0.00893681
Hallwood,-0.024104388,-0.0025083385,-0.029146012,0.012909693,-0.008681842,0.006890914,-0.011689876,-0.00923586,0.004509582,-0.025298554
Westcreek,-0.015674846,-0.014415763,0.02769225,-0.0144097265,-0.025143687,0.0077719614,-0.013035359,0.0050191754,-0.01214856,-0.015000484
Amasa,-0.013912245,-0.013165982,0.0117711155,0.0012721337,0.0029659087,-0.0013448362,-0.03316437,-0.008797186,-0.015285258,-0.021075161
Jacksonport,0.0012655064,-0.006916543,-0.0050210394,0.013134832,0.007168154,0.0032575608,-0.006468944,0.019312829,0.0032404247,0.035924405
Lyden,-0.022838153,-0.0034966704,0.002466703,-0.02055695,0.0065016425,0.0011221612,-0.0014391055,0.0054228525,-0.0061972574,-0.010046798
Phillipsburg,0.00141755,-0.011853468,0.006900502,-0.014583218,0.0072119473,0.011442529,0.0021954784,0.017453084,0.008351965,0.010059135
Macy,0.008403628,-0.0011545516,0.016750362,0.036686182,0.022130279,-0.015395275,0.005550773,0.003394083,-0.012393889,0.0025402885
Lewellen,-0.0042521753,-0.028661449,0.020737752,-0.0031064777,-0.0053230724,0.008429752,-0.005990768,0.0126996385,0.0012393475,0.0049540065
Autryville,-0.018084824,0.0015423236,-0.025342124,0.010211589,-0.0082304515,0.0020804782,0.0046406803,0.0055356473,0.012711108,-0.008561308
Belspring,-0.012196052,-0.0031724519,0.0066423845,-0.00056099135,-0.0015451969,0.018220628,0.01677745,-0.0040924805,0.010292538,-0.037424892
Butters,-0.018975101,-0.0033573331,-0.021833345,0.008146996,-0.012567846,-0.00047118205,0.0018385713,0.011445769,0.0068599544,-0.00745787
BlodgettMills,-0.012346131,-0.0030202947,0.024326723,-0.015966916,-0.004864827,0.0042164144,0.019268524,-0.022561163,-0.0029692187,-0.02587387
Edenborn,-0.0038196442,-0.0073407968,-0.01387782,0.035286307,0.003268934,0.011910489,0.04233813,-0.00356041,0.019264154,-0.013936313
HancocksBridge,0.0074311136,6.202143e-05,-0.072230205,0.016861552,0.010133567,0.08063445,0.015751634,-0.06272071,0.025417965,-0.044704307
Grayling,-0.016427582,-0.016438372,0.027388845,-0.0155315455,-0.0166166,-0.007004962,-0.007894975,0.001744869,-0.006519079,-0.009251672
Kellyton,-0.026805865,0.00039517693,-0.017797416,-0.01014055,-0.0036710517,0.017900018,0.008527699,0.00882184,0.006876714,0.008352185
Independence,-0.01826946,-0.0038251828,0.027953003,-0.014718124,-0.018163173,-0.009893801,-0.019824078,0.0024230252,-0.003337516,-0.030600928
Peterson,0.020871999,-0.025614956,-0.0038386052,0.006997889,0.017385794,0.0011576631,-0.015808629,0.0075014783,0.0027215746,0.009599725
Thompsonville,-0.046309065,-0.0020481402,0.017893134,-0.022319898,-0.007102144,0.011375073,0.0010575657,-0.0018535188,-0.031284668,0.025567919
Fordville,-0.0034577984,-0.039209135,0.013074921,-0.013756061,0.0012533042,-0.0002874732,-0.02571194,0.01888757,0.0063543236,0.0007219312
Goodlow,-0.017067317,0.0015205411,-0.0044931145,-0.032768678,0.011884702,0.020630267,0.016541995,0.009293838,-0.016778175,0.018377652
SilverCreek,-0.023721972,-0.005536629,-0.012418382,-0.015926158,0.0027731585,0.021079458,0.008027068,0.013496576,-0.0023481243,0.02124187
Jeff,-0.009864108,-0.0026948627,-0.009459104,0.0054923296,-0.0022175908,0.020546384,0.02493715,0.009492216,0.021309337,-0.0019510511
Westgate,0.034763657,-0.0271582,-0.007267792,0.024225015,0.036164064,0.001830326,-0.011584518,0.013445475,0.003744525,0.027641898
Aucilla,-0.035013277,-0.0031643875,-0.0011809685,-0.007713352,-0.0054867715,-0.0054219314,-0.01071064,0.013443131,-0.013009506,0.011209301
Batchtown,0.020941723,0.00657927,0.006190108,0.044580642,0.04402795,-0.018344942,-0.0111339735,0.03513858,-0.0047225337,0.019580033
Cañon,-0.027131146,-0.0011145737,0.009409086,-0.022074128,-0.003695359,0.0028171649,-0.018997664,0.012935651,-0.016874358,-0.002962152
Ellsworth,0.020455116,-0.013577196,0.0032320167,0.024094852,0.025562786,-0.004150955,-0.0093915975,0.01869922,-0.012794271,0.018920697
Loachapoka,-0.02981577,0.0035183148,-0.016430315,-0.003201289,-0.004226735,0.010703449,0.0025231645,0.0060260524,0.003481657,0.010083158
Bienville,-0.014263738,-0.0055325925,-0.014307911,-0.018039467,0.0028861992,0.020446656,0.012900173,0.013276179,0.0016663877,0.02334344
NorthRobinson,-0.0016517697,-0.0069596577,0.015832921,0.037126433,0.023451522,-0.0077171656,0.013735521,-0.0037059386,-0.010834668,-0.01129626
Ewing,-0.008826944,0.0037773994,-0.008085446,-0.0009831074,-0.00044989766,0.015712587,0.016171291,0.0035444708,0.020855298,-0.012099057
Taylorsville,-0.008856801,0.0022631804,0.021918137,-0.021571217,-0.010279906,-0.010414587,-0.017449085,0.011517085,0.010299533,-0.026171783
BayCenter,-0.014696694,-0.005817005,0.028359769,-0.029918382,-0.043602545,-0.005007236,-0.018362692,0.0148453005,-0.012870255,-0.01807657
Petrolia,-0.017918587,0.0063080643,0.0127307065,0.022900647,0.012647315,-0.0065509034,0.023733372,-0.020499725,-0.0033187405,-0.04526441
Trenton,-0.022716878,-0.0052006226,-0.007568339,0.0064519187,-0.008187017,0.004334601,-0.004966962,0.004481349,-0.0007048658,-0.0058939927
NewEdinburg,-0.0015129024,-0.015175217,-0.01073145,-0.003898856,0.0016638994,0.018484993,0.016660508,0.013403387,0.010387888,0.024804262
PaintRock,-0.017473675,0.009892525,-0.02005162,-0.0021902642,-0.0013445196,0.012401067,0.0020733604,0.011779085,0.012707523,0.015687523
Pittsburg,-0.0072785555,-0.008174013,0.00026671216,-0.023139084,0.00045222035,0.01949378,0.018509012,0.0065662535,0.004133808,0.01275417
MillShoals,0.007873816,0.0044819852,0.00841709,0.015591396,0.023361012,0.0031400924,-0.0061132354,0.023391696,-0.0041289907,0.018597271
Broaddus,-0.019826086,-0.006769851,-0.0058751632,-0.017797237,-0.005012399,0.01699566,0.005369193,0.009094031,-0.004817154,0.01658353
FishingCreek,-0.012115703,-0.0029561047,-0.039401982,0.016886903,-0.00127945,0.026473625,0.0031348628,-0.020901294,0.015445621,-0.02365073
Vaughnsville,0.004087792,-0.0052716695,0.019992992,0.045828655,0.022282723,-0.012839595,0.019927124,-0.005349453,-0.016101416,-0.005521792
CoffeeCreek,-0.0064521553,-0.016044013,0.023516065,-0.024692455,-0.02077212,-0.009080454,-0.024372507,0.015798967,0.0057549803,-0.015770817
O'Kean,-0.00027052872,-0.0028029885,-0.0060981754,0.014911629,0.01078431,0.0026007458,-0.013098682,0.020182818,-0.0043209963,0.03213509
Altona,0.00877816,-0.007575194,0.023779081,0.036718845,0.02263249,-0.015658941,0.009123893,-0.009392805,-0.025975894,-0.005089972
Harrells,-0.020265838,-0.0027053808,-0.023850726,0.012019993,-0.0060880487,0.002186008,0.0024702486,0.009114311,0.009828682,-0.009678426
GardenGrove,0.01286071,-0.019056214,0.008883395,0.0033236505,0.029728489,0.009380012,0.005995288,0.017801574,0.01672567,0.013258447
Lilly,-0.029174345,-0.0013101568,-0.010115094,0.005576022,-0.015383643,0.00086349586,-0.007620346,0.010754852,-0.0061639803,0.005372666
Scotia,-0.029643083,-0.006425511,-0.010405492,0.0044669113,-0.0130416285,-0.0014931845,-0.00039246306,0.0131214475,-0.007888705,-0.0016148075
Blencoe,0.029235369,-0.03863541,0.01634046,0.010467652,0.030948939,0.015378405,0.00674936,0.017741587,0.028146364,0.03178099
Providence,-0.021580448,-0.0026990725,-0.01668496,-0.010692336,0.004665681,0.022688795,0.00858552,0.01276159,0.0061237295,0.01846085
GlenJean,-0.014065711,-0.0066417446,-0.00961945,0.009546999,-0.0011390797,0.01593537,0.024548348,0.004515882,0.016121645,-0.016418679
BearValley,-0.011892054,-0.0028969245,0.023936896,-0.012639866,-0.0077523496,-0.011434313,-0.017139083,0.010573453,0.010891035,-0.013995756
MeireGrove,0.015188899,-0.04482558,-0.008686166,-0.0004006642,0.02015837,0.0073137716,-0.02618689,0.023839304,0.020362245,0.0035039561
