city,state,country,dim_1,dim_2,dim_3
Buckhead,GA,US,-0.03251238,0.21638654,-0.16614765
Metaline,WA,US,-0.10072305,0.16993555,-0.29531538
MiddleVillage,WI,US,-0.04029456,0.22894034,-0.2998584
Beaman,IA,US,-0.05032184,0.18430026,-0.31175113
Choptank,MD,US,0.06358795,0.261265,-0.21769764
Carney,MI,US,-0.03469219,0.22903144,-0.28799957
Calpine,CA,US,-0.057391826,0.18430555,-0.2605035
Slick,OK,US,-0.17585449,0.20572476,-0.28159848
Cowgill,MO,US,-0.08218141,0.21521567,-0.33176076
Hebron,WI,US,0.004018322,0.18980783,-0.308848
Banner,IL,US,-0.06450243,0.21564789,-0.3217334
Mina,NV,US,-0.020405963,0.14858322,-0.2543045
Hebo,OR,US,-0.11608506,0.17020977,-0.26320264
Frost,MN,US,-0.051423255,0.18209197,-0.31200626
Layton,FL,US,-0.100783035,0.23564598,-0.19882654
Proberta,CA,US,0.098018795,0.11189781,-0.24089552
FountainN'Lakes,MO,US,-0.08432845,0.22040555,-0.30908194
Weldona,CO,US,-0.09229884,0.17288303,-0.28103018
GreenBank,WV,US,-0.054698717,0.30280486,-0.25018993
ConceptionJunction,MO,US,-0.08205461,0.20184739,-0.33196878
NewGrandChain,IL,US,-0.073687464,0.2345212,-0.27096456
Warba,MN,US,-0.05253385,0.20030044,-0.29805478
CopperCity,MI,US,-0.074013926,0.23546812,-0.28359935
BaldHeadIsland,NC,US,-0.021018706,0.1944074,-0.21411462
LosCerrillos,NM,US,-0.0805914,0.16656537,-0.26982936
ComancheCreek,CO,US,-0.089251935,0.18416326,-0.2625578
Modoc,IN,US,-0.022260232,0.25859907,-0.29589933
WestSunbury,PA,US,0.004305551,0.3277809,-0.2800699
Barnum,IA,US,-0.052793425,0.17875756,-0.3167289
BelleriveAcres,MO,US,-0.049961224,0.21751834,-0.32427177
Mokane,MO,US,-0.14800443,0.24134894,-0.3068177
Camargo,OK,US,-0.1680774,0.17960872,-0.28299773
Michiana,MI,US,-0.0041271485,0.2202105,-0.29173073
Doland,SD,US,-0.06391023,0.18578146,-0.28642446
