city,dim_1,dim_2,dim_3
Kokhanok,-0.033682436,0.046111617,0.011059271
Barnesville,0.025906494,0.001685081,-0.063539654
TheRock,-0.017163604,0.024304884,0.018618949
PointIsabel,0.024469225,0.03179931,0.011572395
Elko,-0.012833936,0.024556428,0.015488587
Walton,0.021016177,0.0037333416,0.040124897
BrantLakeSouth,0.008381799,0.027835194,0.03914035
Braxton,-0.019084904,0.021958431,0.0220564
Anawalt,-0.0070873215,0.019508127,0.010108123
VanVoorhis,0.05151228,0.022428319,-0.006560752
Shambaugh,0.0102809835,0.012733745,0.03344827
Shelly,-0.0026096585,0.010631309,0.035607643
Sheridan,0.0116583705,0.011876597,0.030065488
Riverdale,0.009424594,0.03146282,0.03648216
Cooksville,0.02794314,0.018929437,0.03059103
LakeCavanaugh,-0.035184596,0.033265617,0.014470769
Paxville,-0.0072458754,0.020099582,0.014919785
Finland,-0.0047396026,0.03372263,0.009742256
Chewey,-0.01362418,0.012764057,0.017368903
WilburtonNumberOne,0.0059647914,0.010327306,-0.052017014
Cantwell,-0.025387332,0.040180523,0.0109387655
AliChuk,-0.029854184,0.0164098,0.007623841
BishopHills,-0.009068794,0.028689604,0.0123444935
Modesto,0.012821589,0.019520804,0.027982624
Van,0.0008508448,0.012866836,0.0133308
Cecil,0.035505533,0.028497761,-0.000338275
DutchFlat,-0.03116835,0.02708969,0.010164036
Portsmouth,0.02893603,0.00998381,0.036238324
TroutCreek,-0.040571094,0.014058698,0.020952724
Otoe,0.018061006,0.014531758,0.032936454
SprucePine,-0.012354857,0.02288178,0.020247476
Palominas,-0.027835133,0.009284109,0.0074104345
Amherst,-0.0061406293,0.033412594,0.029670848
LaRosita,-0.038820542,0.05035633,0.002464928
Colerain,-0.0001011733,0.012576734,0.0040178522
Ramona,-0.014382142,0.023143359,0.025848951
Halfway,-0.008033564,0.013044823,0.023908738
Power,-0.02302868,0.03674907,0.0141387135
SilverPlume,-0.039219987,0.049364813,0.008135489
Denison,0.0009798235,0.018772434,0.030591793
JordanValley,-0.030060353,0.023181478,0.0062120464
PortGraham,-0.033266563,0.05160431,0.011247957
FlatRock,0.03211943,0.02830083,0.0071872273
Hillview,0.022001524,0.018322606,0.033913173
Pomaria,-0.010685143,0.018365834,0.010520296
Purdin,0.006187037,0.007143405,0.021976512
Lozano,-0.042711657,0.047462195,0.0057512554
Chesterfield,0.009121983,0.014554775,0.026000127
Fairhaven,-0.050569594,0.012862195,0.0091972435
HighHill,0.008806902,0.008395251,0.03733776
LowellPoint,-0.029897206,0.05075864,0.0090120295
Wasola,-0.007243051,0.01311539,0.021804897
Hurley,-0.013719101,0.011265516,0.023809802
Kennerdell,0.015966294,0.011308284,-0.017160937
Congress,0.030140992,0.026705932,0.0046201427
Wessington,0.0009958516,0.03172662,0.037093014
Minto,-0.027365388,0.030732207,0.011363873
Alfarata,0.005482225,0.005487535,-0.04162712
Stevinson,-0.04098917,-0.10972972,-0.004783089
ArroyoHondo,-0.016486246,0.002602437,0.009423476
Gregory,-0.016137555,-0.001003548,0.017040016
MillSpring,0.00073750666,0.013740827,0.020999921
CoffmanCove,-0.02914323,0.044205055,0.008546471
Trego,0.012630852,0.008961943,0.01956771
Pantego,-0.011091011,0.021124704,0.010233159
Rickardsville,0.039569966,0.0042550154,0.030640967
Mullin,-0.030195512,0.043860275,0.012334383
WestMillgrove,0.036305875,0.028786682,0.003922228
Magnolia,0.03199667,0.009887409,0.03734664
GeudaSprings,-0.005857812,0.015927598,0.023943316
McCracken,-0.014661152,0.033539683,0.020979531
Elida,-0.033763915,0.05089263,0.009040053
Abanda,-0.019084796,0.022096545,0.014105061
LosBarreras,-0.038820542,0.05035633,0.002464928
Wardner,-0.044141427,0.008220524,0.023463972
Edmore,-0.009184985,0.024088822,0.028970523
Carrollton,-0.014087277,0.016064959,0.022956094
AlcanBorder,-0.026421502,0.02587167,0.009882564
Letcher,0.008779558,0.029317241,0.040667325
Ferryville,0.025109515,0.006255626,0.01980711
