city,state,country,dim_1,dim_2,dim_3,dim_4
Heckscherville,PA,US,0.0026653656,0.07149676,0.016461642,-0.01577671
WestElkton,OH,US,0.03193685,-0.0070143184,0.013081729,-0.046156194
Lopeño,TX,US,-0.026097693,-0.008174081,0.07779427,0.03046181
Lequire,OK,US,-0.008826529,-0.046983313,0.06031283,0.003077255
Gurley,NE,US,-0.039736483,-0.025231782,0.032816194,-0.0038778996
WaterValley,KY,US,0.0342369,-0.036252428,0.018744225,-0.002357348
Saco,MT,US,-0.030270442,-0.023342017,0.002058499,-0.0071529225
Coral,PA,US,0.02210143,0.04928539,0.026313975,-0.051132258
Beaverton,AL,US,0.0406683,-0.0120309675,0.034765586,0.04411003
Stronach,MI,US,-0.012919396,0.0041597923,-0.010457857,-0.028471632
Cool,TX,US,-0.017509628,-0.040523455,0.06157002,0.01445603
Locustdale,PA,US,0.005243806,0.069545954,0.017868102,-0.019644383
Latah,WA,US,-0.03826532,-0.0142779825,-0.002058801,-0.0044591087
Wren,OH,US,0.020974139,0.0003258027,-0.0010762395,-0.040584803
HowardCity,NE,US,-0.028808428,-0.027735656,0.017804386,-0.017579323
Alligator,MS,US,0.019229371,-0.031578377,0.019791326,0.035443097
Benson,PA,US,0.024114698,0.038267374,0.013928741,-0.037725788
Boxholm,IA,US,-0.012212353,-0.0313209,-0.014218992,-0.027489046
Clawson,UT,US,-0.026247945,-0.010614363,0.00053772505,0.011323705
Onycha,AL,US,0.02863544,0.011142289,0.008345294,0.055318713
Emmett,KS,US,-0.016306607,-0.038054097,0.01768445,-0.030439975
Hosmer,SD,US,-0.028457481,-0.019558098,0.005456248,-0.010175242
Eldred,IL,US,0.017988829,-0.03970839,0.0072115446,-0.03416275
TseBonito,NM,US,-0.031161403,-0.0103873685,-0.009251333,0.0048246565
Rantoul,KS,US,-0.006040131,-0.042796195,0.020496957,-0.029564247
Broadway,NJ,US,-0.0014202902,0.08616188,0.010700248,-0.010391665
DeepRiver,WA,US,-0.039576482,-0.01879726,0.009303404,0.0069175297
Wing,ND,US,-0.023072103,-0.01894768,0.0001468379,-0.005273744
Franktown,CO,US,-0.031118225,-0.012175371,0.00773633,0.0068307985
ElkMountain,WY,US,-0.038028322,-0.0053903395,0.037918862,0.0013474178
Rayle,GA,US,0.05558152,-0.013244626,0.013623373,0.039928216
Rossburg,OH,US,0.027152248,-0.0014402446,0.0024211728,-0.04305666
St.Lawrence,SD,US,-0.030131878,-0.018595234,0.0033944359,-0.013559873
RoyalLakes,IL,US,0.019267574,-0.024771692,-0.00036257878,-0.03462538
ArcticVillage,AK,US,-0.038886998,-0.010833863,0.024747161,0.005940087
